"Keycode","Keyname","Keycount"
49,"1",4639
50,"2",3478
51,"3",3180
52,"4",1829
53,"5",1744
54,"6",2387
55,"7",1828
56,"8",2408
57,"9",4501
48,"0",7594
65,"A",78657
66,"B",15777
67,"C",36994
68,"D",24523
69,"E",90227
70,"F",17080
71,"G",23593
72,"H",30253
73,"I",65680
74,"J",3705
75,"K",13210
76,"L",41432
77,"M",26430
78,"N",52585
79,"O",57390
80,"P",18240
81,"Q",1499
82,"R",47948
83,"S",66541
84,"T",71611
85,"U",26899
86,"V",18827
87,"W",19349
88,"X",4729
89,"Y",18671
90,"Z",9119
16777219,"Backspace",196352
16777220,"Enter",65937
16777217,"Tab",21076
16777252,"Capslock",1331
16781922,"Left Shift",40069
16781917,"Left Ctrl",90994
16781915,"Left Alt",6778
16781914,"Right Alt",79
16781916,"Right Ctrl",203
16781921,"Right Shift",6947
16777234,"Left",38421
16777237,"Down",84133
16777236,"Right",47942
16777235,"Up",61255
16777222,"Insert",4
16777232,"Home",6898
16777238,"PageUp",4784
16777223,"Delete",3041
16777233,"End",6125
16777239,"PageDown",9223
16777216,"Escape",11146
32,"Space",143547
16777264,"F1",5
16777265,"F2",276
16777266,"F3",2
16777267,"F4",171
16777268,"F5",1
16777269,"F6",0
16777270,"F7",0
16777271,"F8",0
16777272,"F9",0
16777273,"F10",8
16777274,"F11",0
16777275,"F12",1
16781912,"0",10
16781920,"1",9
16781909,"2",1
16781906,"3",0
16781911,"4",0
16781908,"5",1
16781919,"6",5
16781918,"7",7
16781913,"8",4
168,"9",5
16777471,".",0
16781910,"Enter",5
202,"-",0
16777476,"Numlock",0
16777428,"+",0
16777474,"/",2
16777429,"*",0
195,"~",286
45,"-",4229
61,"=",2665
91,"[",1094
93,"]",779
92,"\",1282
59,";",2490
39,"'",5370
44,",",4930
46,".",7350
47,"/",3855
